"Tabel 18 Akumulasi Penyaluran Pinjaman kepada Penerima Pinjaman berdasarkan Lokasi (Miliar Rp)
Table 18 Accummulated of Loan Disbursement to Borrowers Based On Location (Billion Rp)",,,,,,,,,,,,,,
Lokasi / Locations,,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
,,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan,Akumulasi Sejak Perusahaan Didirikan s.d Akhir Posisi Bulan
    a. Jawa,,"  615,453.47 ","  632,791.66 ","  648,627.93 ","  665,813.25 ","  682,362.31 ","  700,133.46 ","  718,524.00 ","  737,307.30 ","  755,859.10 ","  776,678.66 ","  785,367.56 ","  801,665.88 ","  822,206.92 "
,1. Banten,"  63,534.65 ","  65,391.67 ","  67,100.15 ","  68,994.39 ","  70,699.52 ","  72,820.74 ","  74,888.64 ","  77,234.25 ","  79,122.30 ","  81,458.87 ","  82,655.50 ","  81,984.96 ","  84,192.24 "
,2. DKI Jakarta,"  191,852.60 ","  195,994.01 ","  199,522.23 ","  203,532.87 ","  207,239.18 ","  211,085.98 ","  215,152.68 ","  216,760.89 ","  220,884.47 ","  225,444.06 ","  223,050.32 ","  226,092.77 ","  230,873.01 "
,3. Jawa Barat,"  196,633.56 ","  202,749.26 ","  208,382.15 ","  214,341.08 ","  220,122.41 ","  226,172.65 ","  232,653.90 ","  240,785.27 ","  247,178.40 ","  254,495.32 ","  259,300.54 ","  263,930.95 ","  270,921.29 "
,4. Jawa Tengah,"  56,050.92 ","  57,827.66 ","  59,465.28 ","  61,255.52 ","  62,965.39 ","  64,899.93 ","  66,830.42 ","  69,226.62 ","  71,289.99 ","  73,533.47 ","  74,550.85 ","  79,909.80 ","  82,235.58 "
,5. DI Yogyakarta,"  9,886.92 ","  10,222.68 ","  10,550.20 ","  10,963.81 ","  11,288.88 ","  11,670.15 ","  12,029.17 ","  12,435.21 ","  12,836.87 ","  13,303.74 ","  13,769.62 ","  13,675.82 ","  14,108.85 "
,6. Jawa Timur,"  97,494.82 ","  100,606.39 ","  103,607.92 ","  106,725.60 ","  110,046.93 ","  113,484.02 ","  116,969.19 ","  120,865.06 ","  124,547.07 ","  128,443.20 ","  132,040.73 ","  136,071.58 ","  139,875.94 "
    b. Luar Jawa,,"  147,691.34 ","  152,955.18 ","  157,870.16 ","  163,371.42 ","  168,268.11 ","  174,402.18 ","  180,629.23 ","  188,454.16 ","  194,943.40 ","  201,714.52 ","  208,963.40 ","  219,094.61 ","  226,429.66 "
,1. Nangroe Aceh Darussalam,"  2,267.60 ","  2,339.78 ","  2,406.28 ","  2,486.45 ","  2,546.36 ","  2,623.89 ","  2,700.63 ","  2,930.27 ","  3,015.50 ","  3,076.35 ","  3,135.72 ","  3,103.03 ","  3,193.65 "
,2. Sumatera Utara,"  18,264.17 ","  18,902.89 ","  19,511.22 ","  20,177.76 ","  20,789.88 ","  21,543.13 ","  22,333.16 ","  23,292.98 ","  24,052.25 ","  24,906.80 ","  25,925.80 ","  27,477.80 ","  28,393.19 "
